Metric,SPY,Strategy
Risk-Free Rate,5.25%,5.25%
Time in Market,67.0%,74.0%
,,
Total Return,1%,-1%
CAGR% (Annual Return),33.42%,-15.35%
,,
Sharpe,2.06,-2.4
RoMaD,20.11,-19.09
Corr to Benchmark,1.0,0.52
Prob. Sharpe Ratio,62.26%,28.73%
Smart Sharpe,1.52,-1.77
Sortino,3.83,-3.04
Smart Sortino,2.82,-2.24
Sortino/√2,2.71,-2.15
Smart Sortino/√2,2.0,-1.58
Omega,0.7,0.7
,,
Max Drawdown,-1.66%,-0.8%
Longest DD Days,6,6
Volatility (ann.),10.87%,8.48%
R^2,0.27,0.27
Information Ratio,-0.23,-0.23
Calmar,20.11,-19.09
Skew,0.62,-0.49
Kurtosis,0.1,0.42
,,
Expected Daily%,0.07%,-0.04%
Expected Monthly%,1.11%,-0.64%
Expected Yearly%,1.11%,-0.64%
Daily Value-at-Risk,-0.86%,-0.77%
Expected Shortfall (cVaR),-0.86%,-0.77%
,,
MTD,1.11%,-0.64%
3M,1.11%,-0.64%
6M,1.11%,-0.64%
YTD,1.11%,-0.64%
1Y,1.11%,-0.64%
3Y (ann.),33.42%,-15.35%
5Y (ann.),33.42%,-15.35%
10Y (ann.),33.42%,-15.35%
All-time (ann.),33.42%,-15.35%
,,
Best Day,1.19%,0.71%
Worst Day,-0.87%,-0.99%
Best Month,1.11%,-0.64%
Worst Month,1.11%,-0.64%
Best Year,1.11%,-0.64%
Worst Year,1.11%,-0.64%
,,
Avg. Drawdown,-1.04%,-0.56%
Avg. Drawdown Days,4,3
Recovery Factor,0.68,0.78
Ulcer Index,0.01,0.0
Serenity Index,-2.21,-6.53
,,
Avg. Up Month,-,-
Avg. Down Month,-,-
Win Days,6.0,6.82
Loss Days,9.0,8.18
Win Days%,40.0%,45.45%
Win Month%,100.0%,0.0%
Win Quarter%,100.0%,0.0%
Win Year%,100.0%,0.0%
,,
Beta,-,0.4
Alpha,-,-0.26
Correlation,-,51.78%
Treynor Ratio,-,-14.57%
