Metric,SPY,Strategy
Risk-Free Rate,5.25%,5.25%
Time in Market,67.0%,62.0%
,,
Total Return,9%,4%
CAGR% (Annual Return),26.31%,9.98%
,,
Sharpe,1.67,0.78
RoMaD,4.91,4.1
Corr to Benchmark,1.0,0.44
Prob. Sharpe Ratio,75.45%,65.66%
Smart Sharpe,1.52,0.71
Sortino,2.59,1.1
Smart Sortino,2.35,0.99
Sortino/√2,1.83,0.78
Smart Sortino/√2,1.66,0.7
Omega,1.14,1.14
,,
Max Drawdown,-5.35%,-2.44%
Longest DD Days,34,27
Volatility (ann.),11.16%,5.72%
R^2,0.2,0.2
Information Ratio,-0.07,-0.07
Calmar,4.91,4.1
Skew,0.06,-0.43
Kurtosis,1.43,2.01
,,
Expected Daily%,0.06%,0.03%
Expected Monthly%,1.74%,0.71%
Expected Yearly%,4.41%,1.78%
Daily Value-at-Risk,-0.9%,-0.47%
Expected Shortfall (cVaR),-0.9%,-0.47%
,,
MTD,-2.32%,-1.7%
3M,4.15%,1.42%
6M,9.02%,3.58%
YTD,8.26%,3.08%
1Y,9.02%,3.58%
3Y (ann.),26.31%,9.98%
5Y (ann.),26.31%,9.98%
10Y (ann.),26.31%,9.98%
All-time (ann.),26.31%,9.98%
,,
Best Day,2.07%,0.88%
Worst Day,-1.63%,-0.95%
Best Month,5.22%,2.02%
Worst Month,-2.32%,-1.7%
Best Year,8.26%,3.08%
Worst Year,0.71%,0.49%
,,
Avg. Drawdown,-1.32%,-0.6%
Avg. Drawdown Days,8,7
Recovery Factor,1.66,1.47
Ulcer Index,0.02,0.01
Serenity Index,0.48,-0.4
,,
Avg. Up Month,2.8%,1.32%
Avg. Down Month,-2.32%,-1.7%
Win Days,73.23,80.95
Loss Days,62.77,55.05
Win Days%,53.85%,59.52%
Win Month%,80.0%,80.0%
Win Quarter%,66.67%,66.67%
Win Year%,100.0%,100.0%
,,
Beta,-,0.23
Alpha,-,0.04
Correlation,-,44.25%
Treynor Ratio,-,-7.35%
