Metric,SPY,Strategy
Risk-Free Rate,5.25%,5.25%
Time in Market,69.0%,40.0%
,,
Total Return,68%,369%
CAGR% (Annual Return),13.08%,44.02%
,,
Sharpe,0.44,0.81
RoMaD,0.39,0.64
Corr to Benchmark,1.0,-0.18
Prob. Sharpe Ratio,24.71%,40.64%
Smart Sharpe,0.42,0.77
Sortino,0.61,1.36
Smart Sortino,0.58,1.29
Sortino/√2,0.43,0.96
Smart Sortino/√2,0.41,0.92
Omega,1.26,1.26
,,
Max Drawdown,-33.68%,-68.94%
Longest DD Days,708,768
Volatility (ann.),22.1%,60.35%
R^2,0.03,0.03
Information Ratio,0.03,0.03
Calmar,0.39,0.64
Skew,-0.57,2.64
Kurtosis,16.9,38.77
,,
Expected Daily%,0.03%,0.1%
Expected Monthly%,1.03%,3.08%
Expected Yearly%,10.98%,36.24%
Daily Value-at-Risk,-1.86%,-5.05%
Expected Shortfall (cVaR),-1.86%,-5.05%
,,
MTD,-2.32%,-16.29%
3M,4.15%,18.71%
6M,23.62%,19.14%
YTD,8.26%,50.92%
1Y,24.43%,68.87%
3Y (ann.),8.53%,34.25%
5Y (ann.),13.08%,44.02%
10Y (ann.),13.08%,44.02%
All-time (ann.),13.08%,44.02%
,,
Best Day,9.06%,37.47%
Worst Day,-10.94%,-26.38%
Best Month,12.7%,87.58%
Worst Month,-12.44%,-44.83%
Best Year,28.77%,98.55%
Worst Year,-18.16%,-2.5%
,,
Avg. Drawdown,-2.04%,-16.79%
Avg. Drawdown Days,20,94
Recovery Factor,1.86,3.32
Ulcer Index,0.1,0.31
Serenity Index,0.35,0.44
,,
Avg. Up Month,4.76%,15.0%
Avg. Down Month,-3.67%,-9.7%
Win Days,829.29,804.25
Loss Days,718.71,743.75
Win Days%,53.57%,51.95%
Win Month%,64.71%,50.0%
Win Quarter%,66.67%,43.75%
Win Year%,80.0%,80.0%
,,
Beta,-,-0.49
Alpha,-,0.61
Correlation,-,-17.79%
Treynor Ratio,-,-749.63%
