Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,69.0%,13.0%
,,
Total Return,84%,8%
CAGR% (Annual Return),16.56%,1.85%
,,
Sharpe,0.69,-0.46
RoMaD,0.68,0.26
Corr to Benchmark,1.0,0.13
Prob. Sharpe Ratio,50.11%,8.83%
Smart Sharpe,0.68,-0.45
Sortino,0.99,-0.62
Smart Sortino,0.97,-0.61
Sortino/√2,0.7,-0.44
Smart Sortino/√2,0.69,-0.43
Omega,0.85,0.85
,,
Max Drawdown,-24.49%,-7.17%
Longest DD Days,708,66
Volatility (ann.),16.75%,6.62%
R^2,0.02,0.02
Information Ratio,-0.04,-0.04
Calmar,0.68,0.26
Skew,-0.22,-1.36
Kurtosis,3.94,39.3
,,
Expected Daily%,0.04%,0.01%
Expected Monthly%,1.27%,0.15%
Expected Yearly%,12.91%,1.46%
Daily Value-at-Risk,-1.4%,-0.56%
Expected Shortfall (cVaR),-1.4%,-0.56%
,,
MTD,3.53%,-4.59%
3M,4.38%,-4.59%
6M,14.9%,-4.59%
YTD,15.88%,-4.59%
1Y,26.48%,-4.59%
3Y (ann.),9.31%,-1.59%
5Y (ann.),16.56%,1.85%
10Y (ann.),16.56%,1.85%
All-time (ann.),16.56%,1.85%
,,
Best Day,5.5%,3.2%
Worst Day,-4.35%,-3.9%
Best Month,10.88%,3.23%
Worst Month,-9.24%,-4.59%
Best Year,28.77%,9.57%
Worst Year,-18.16%,-4.59%
,,
Avg. Drawdown,-1.56%,-2.87%
Avg. Drawdown Days,17,21
Recovery Factor,2.71,1.13
Ulcer Index,0.09,0.01
Serenity Index,0.34,0.25
,,
Avg. Up Month,4.6%,2.2%
Avg. Down Month,-3.11%,-2.66%
Win Days,780.94,811.93
Loss Days,666.06,635.07
Win Days%,53.97%,56.11%
Win Month%,66.67%,72.73%
Win Quarter%,75.0%,80.0%
Win Year%,80.0%,66.67%
,,
Beta,-,0.05
Alpha,-,0.01
Correlation,-,12.63%
Treynor Ratio,-,46.31%
