time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,fcd16d39d0ec48cf8d4357c17ef7fd01,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,fcd16d39d0ec48cf8d4357c17ef7fd01,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,2d3187cff5164d0e8e1868deaa13673f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,2d3187cff5164d0e8e1868deaa13673f,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,4e1eb4c655cd42a3a659fc26552dcfb4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,4e1eb4c655cd42a3a659fc26552dcfb4,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,6a3d559e6c0d4269bfd78a83a31d3fb3,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,6a3d559e6c0d4269bfd78a83a31d3fb3,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,4f6e27acaa6b40c2b7a93c4f228dd435,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,5b2cb47b466b42bea3d7d608af7804b3,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,610f8648b6ee4b298106b38972ef73d8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,b0880487a8c94b4e9cdd2ddb02de483c,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,645f093748b94023aaf5256aee3bbff8,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,7934c265105549e2a9b1f16cae94fad3,SPY,buy,limit,fill,1,day,0.0,1,stock,284.6400146484375,335.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,0fa209ded2c74d0c807243c201ddb693,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,0fa209ded2c74d0c807243c201ddb693,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,535.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,dcafd93a2bf7496e81fbdc0151af4906,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,4357ea41ab9f4e37a659c61025994676,SPY,buy,limit,fill,1,day,0.0,1,stock,249.1774948120117,576.0,0.0
2020-03-16 08:30:00-04:00,MLTrader,7815701455d041fb8e39f0bfbbf3cabf,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,MLTrader,ffa82e4594ab41d6aa16382f6a8031c4,SPY,buy,limit,fill,1,day,0.0,1,stock,241.94401245117186,535.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,b939988031a44930abe1d6b8bc25da66,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,b939988031a44930abe1d6b8bc25da66,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,34f009897b014db1bd220bf9a50e3232,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,b13f91a6721e4e68954e675f0545e07b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,fd015bf9c8a94d4fb362fddefa3f794b,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,146727aa7ce4436eac62df6735d73877,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
