time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,21aa7625495345f8b752fafa7d47a63d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,21aa7625495345f8b752fafa7d47a63d,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,706da0a677844dda96635f8384e4015f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,706da0a677844dda96635f8384e4015f,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,42a0d32db983411bb72a8947f48b6718,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,42a0d32db983411bb72a8947f48b6718,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,309421b63c304dfe98ae92cc2b5290f0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,309421b63c304dfe98ae92cc2b5290f0,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,981406f9842848f0b427e073d7dcbeb0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,f095872b2e4541d38df7edc624cbe839,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,9f583a85ab7f433a93f82a177eff8fd0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,3abcc9dd28a748fcaaea4cf1f8545725,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
