Metric,SPY,Strategy
Risk-Free Rate,5.14%,5.14%
Time in Market,69.0%,33.0%
,,
Total Return,80%,58%
CAGR% (Annual Return),14.05%,10.67%
,,
Sharpe,0.48,0.53
RoMaD,0.42,0.6
Corr to Benchmark,1.0,0.13
Prob. Sharpe Ratio,29.01%,51.12%
Smart Sharpe,0.47,0.51
Sortino,0.67,0.78
Smart Sortino,0.65,0.75
Sortino/√2,0.48,0.55
Smart Sortino/√2,0.46,0.53
Omega,1.14,1.14
,,
Max Drawdown,-33.68%,-17.73%
Longest DD Days,708,901
Volatility (ann.),21.63%,10.77%
R^2,0.02,0.02
Information Ratio,-0.01,-0.01
Calmar,0.42,0.6
Skew,-0.59,0.29
Kurtosis,17.52,14.49
,,
Expected Daily%,0.04%,0.03%
Expected Monthly%,1.1%,0.85%
Expected Yearly%,12.53%,9.52%
Daily Value-at-Risk,-1.82%,-0.9%
Expected Shortfall (cVaR),-1.82%,-0.9%
,,
MTD,-0.11%,1.08%
3M,7.15%,8.88%
6M,11.6%,14.1%
YTD,16.0%,16.76%
1Y,20.92%,15.79%
3Y (ann.),8.24%,1.85%
5Y (ann.),14.05%,10.67%
10Y (ann.),14.05%,10.67%
All-time (ann.),14.05%,10.67%
,,
Best Day,9.06%,4.34%
Worst Day,-10.94%,-4.44%
Best Month,12.7%,11.44%
Worst Month,-12.44%,-4.86%
Best Year,28.77%,35.04%
Worst Year,-18.16%,-14.73%
,,
Avg. Drawdown,-1.99%,-2.09%
Avg. Drawdown Days,19,36
Recovery Factor,2.07,2.71
Ulcer Index,0.1,0.09
Serenity Index,0.4,0.17
,,
Avg. Up Month,4.82%,3.61%
Avg. Down Month,-5.0%,-2.44%
Win Days,890.82,894.0
Loss Days,748.18,745.0
Win Days%,54.35%,54.55%
Win Month%,64.81%,56.25%
Win Quarter%,68.42%,66.67%
Win Year%,80.0%,80.0%
,,
Beta,-,0.07
Alpha,-,0.1
Correlation,-,13.25%
Treynor Ratio,-,795.3%
