Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,69.0%,42.0%
,,
Total Return,80%,816%
CAGR% (Annual Return),14.32%,65.38%
,,
Sharpe,0.49,1.12
RoMaD,0.43,1.02
Corr to Benchmark,1.0,-0.14
Prob. Sharpe Ratio,28.6%,68.15%
Smart Sharpe,0.47,1.08
Sortino,0.68,1.85
Smart Sortino,0.66,1.78
Sortino/√2,0.48,1.31
Smart Sortino/√2,0.47,1.26
Omega,1.37,1.37
,,
Max Drawdown,-33.68%,-63.92%
Longest DD Days,708,544
Volatility (ann.),21.76%,52.69%
R^2,0.02,0.02
Information Ratio,0.04,0.04
Calmar,0.43,1.02
Skew,-0.58,1.84
Kurtosis,17.4,33.47
,,
Expected Daily%,0.04%,0.14%
Expected Monthly%,1.12%,4.27%
Expected Yearly%,12.5%,55.73%
Daily Value-at-Risk,-1.83%,-4.36%
Expected Shortfall (cVaR),-1.83%,-4.36%
,,
MTD,3.53%,21.66%
3M,4.38%,22.08%
6M,14.9%,113.14%
YTD,15.88%,130.67%
1Y,26.48%,160.41%
3Y (ann.),9.31%,60.88%
5Y (ann.),14.32%,65.38%
10Y (ann.),14.32%,65.38%
All-time (ann.),14.32%,65.38%
,,
Best Day,9.06%,31.89%
Worst Day,-10.94%,-26.38%
Best Month,12.7%,68.28%
Worst Month,-12.44%,-44.82%
Best Year,28.77%,130.67%
Worst Year,-18.16%,0.56%
,,
Avg. Drawdown,-1.97%,-7.14%
Avg. Drawdown Days,19,29
Recovery Factor,2.06,4.4
Ulcer Index,0.1,0.22
Serenity Index,0.4,0.81
,,
Avg. Up Month,4.4%,16.32%
Avg. Down Month,-3.89%,-8.32%
Win Days,870.88,857.28
Loss Days,737.12,750.72
Win Days%,54.16%,53.31%
Win Month%,66.04%,53.49%
Win Quarter%,72.22%,52.94%
Win Year%,80.0%,100.0%
,,
Beta,-,-0.35
Alpha,-,0.69
Correlation,-,-14.37%
Treynor Ratio,-,-2330.09%
