Metric,SPY,Strategy
Risk-Free Rate,5.15%,5.15%
Time in Market,69.0%,34.0%
,,
Total Return,43%,180%
CAGR% (Annual Return),11.1%,35.38%
,,
Sharpe,0.35,0.76
RoMaD,0.33,0.74
Corr to Benchmark,1.0,-0.19
Prob. Sharpe Ratio,21.83%,41.03%
Smart Sharpe,0.35,0.76
Sortino,0.48,1.45
Smart Sortino,0.48,1.44
Sortino/√2,0.34,1.03
Smart Sortino/√2,0.34,1.02
Omega,1.32,1.32
,,
Max Drawdown,-33.68%,-48.05%
Longest DD Days,543,600
Volatility (ann.),24.01%,46.06%
R^2,0.04,0.04
Information Ratio,0.03,0.03
Calmar,0.33,0.74
Skew,-0.55,4.66
Kurtosis,14.78,56.98
,,
Expected Daily%,0.03%,0.08%
Expected Monthly%,0.88%,2.55%
Expected Yearly%,9.37%,29.39%
Daily Value-at-Risk,-2.03%,-3.86%
Expected Shortfall (cVaR),-2.03%,-3.86%
,,
MTD,5.24%,-0.22%
3M,9.57%,-1.17%
6M,15.14%,-3.65%
YTD,15.44%,-3.65%
1Y,17.11%,-39.64%
3Y (ann.),12.52%,11.54%
5Y (ann.),11.1%,35.38%
10Y (ann.),11.1%,35.38%
All-time (ann.),11.1%,35.38%
,,
Best Day,9.06%,31.89%
Worst Day,-10.94%,-13.66%
Best Month,12.7%,68.29%
Worst Month,-12.44%,-22.23%
Best Year,28.77%,106.48%
Worst Year,-18.16%,-3.65%
,,
Avg. Drawdown,-2.25%,-8.81%
Avg. Drawdown Days,20,49
Recovery Factor,1.36,2.85
Ulcer Index,0.11,0.23
Serenity Index,0.23,0.32
,,
Avg. Up Month,4.76%,8.82%
Avg. Down Month,-4.82%,-8.85%
Win Days,662.16,626.04
Loss Days,580.84,616.96
Win Days%,53.27%,50.36%
Win Month%,65.85%,48.28%
Win Quarter%,71.43%,41.67%
Win Year%,75.0%,50.0%
,,
Beta,-,-0.36
Alpha,-,0.45
Correlation,-,-18.73%
Treynor Ratio,-,-487.48%
