time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,52ab2849034542db8281e9767b11c620,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,52ab2849034542db8281e9767b11c620,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,e3e4ed91ad3049e19fb83add6f31149a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,e3e4ed91ad3049e19fb83add6f31149a,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,1f99cee4862947778ae9d9ece6a43384,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,1f99cee4862947778ae9d9ece6a43384,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,295f6ef4f64b49e7a1a36ae2ce82bb27,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,295f6ef4f64b49e7a1a36ae2ce82bb27,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,9c71e005a5fa44b8b1c171cbd27d39d2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,04be91332c6746b1a256add166f82a98,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,81472a6d597546e2a45b86898ae444e5,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,69cf9a2a8b764bd5add0a3c1e68a4cf8,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,fd6291f5ced244179283743c5713c6d2,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,490e08ec88fb408ba1c53bf2b8896b6c,SPY,buy,limit,fill,1,day,0.0,1,stock,284.6400146484375,335.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,6c408cd88a194d75914c1f86ab4310c6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,6c408cd88a194d75914c1f86ab4310c6,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,535.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,e9726d038c024e079c62e277a89b5e4b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,d2bc423b727c45609508f1d2ef3a28c9,SPY,buy,limit,fill,1,day,0.0,1,stock,249.1774948120117,576.0,0.0
2020-03-16 08:30:00-04:00,MLTrader,13df7fb3732746b193535a04d4c63f41,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,MLTrader,345cb5ef35124a658e8860fc0bc8bc3c,SPY,buy,limit,fill,1,day,0.0,1,stock,241.94401245117186,535.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,a58048954e2d4ed2b0a9756a3546d3e9,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,a58048954e2d4ed2b0a9756a3546d3e9,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,2df397b5f6f54ba9a91f7abc2e085e6c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,7ef47c91c66a4f83b0005e2a44c67093,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3c1ea747db3c4a55ba0de33f2a6a8a76,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,051bc1ebd9714cbc9b1b7b0d7a731a18,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3c1ea747db3c4a55ba0de33f2a6a8a76,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,051bc1ebd9714cbc9b1b7b0d7a731a18,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,475.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,eeb2292f2e4a4db19aa8df5bf50debd4,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,9e0197caa6084d109bb9ea5dea7d61bc,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,2bc57700219e445bbf5c80c990178d4d,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,c5e803e8d2ab48348bb349806a684df0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,2bc57700219e445bbf5c80c990178d4d,SPY,sell,market,fill,1,day,0.0,1,stock,315.4800109863281,475.0,0.0
