time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,362589fc55494a45bd611d7dd5ae7b8a,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,362589fc55494a45bd611d7dd5ae7b8a,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,8a4f9a12b8d649fdba053cf63b09eba0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,8a4f9a12b8d649fdba053cf63b09eba0,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,b90a386747ff4fb3b350edb759eaf492,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,b90a386747ff4fb3b350edb759eaf492,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,598d5b569aaf42fc9ca8aa24b1d3e71e,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,598d5b569aaf42fc9ca8aa24b1d3e71e,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,c37b12a77ec64067a66a40ef923cd2d0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,771db1a4fdae43229671506b6283920e,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,56ccdb74b2fa4743b82c5903d1993f6e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,69750a1124a74143ac5c7f72200f7e3c,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,b5724994f1724e8fa2370ea8aef247f9,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,ebc497518d3d498aad3390068ceb2ef0,SPY,buy,limit,fill,1,day,0.0,1,stock,284.6400146484375,335.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,aac9e58669ac455cb587d73085cf921b,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,aac9e58669ac455cb587d73085cf921b,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,535.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,679c4a8a4d3445ed89b1e95e4785b934,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,174926042ea34b31a4196f7ebc81dadb,SPY,buy,limit,fill,1,day,0.0,1,stock,249.1774948120117,576.0,0.0
2020-03-16 08:30:00-04:00,MLTrader,bde2a58fa31d4ab6a1724442b5c2e34e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,MLTrader,8ed64226f1cd418aafc4bd70822822ee,SPY,buy,limit,fill,1,day,0.0,1,stock,241.94401245117186,535.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,ed609d8ee4c445df94aa3c913927eefe,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,ed609d8ee4c445df94aa3c913927eefe,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,acd3a9e15ee840b7a4c086b8cdf4b5ce,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,99ab3033f1924ff6a8ba7a6909f705d7,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3176feffffcc4b68a59aa3f1c4ab52b5,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e648a85bea3743cdac31e2b8e11e15d7,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,3176feffffcc4b68a59aa3f1c4ab52b5,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,e648a85bea3743cdac31e2b8e11e15d7,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,475.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,4dc7b5d6333e4c65b5f10dae7249f335,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,39327e411b094e0ea3764ea1f45ba823,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,8921c2e5065f4003ac3e54025bcbc478,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,62feed2eabb04eb095f025461d762e89,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,8921c2e5065f4003ac3e54025bcbc478,SPY,sell,market,fill,1,day,0.0,1,stock,315.4800109863281,475.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,62feed2eabb04eb095f025461d762e89,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,68.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,969a067273244fae9a617aec894951ad,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,969a067273244fae9a617aec894951ad,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,341.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,d97167467ee2477aa263278274a7be6a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,1870e2fcd3024c53b964ec088af9923e,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,5a44a6c6f63c42f2bbaeea637bbbe464,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,0b9b8fc487844491ae2076a8dd86c335,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,992d56b836bf4385b4da7a91ca5807c1,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,4a58fe3c23364e0fa6ab7041048b0bd2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,992d56b836bf4385b4da7a91ca5807c1,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,409.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,4a58fe3c23364e0fa6ab7041048b0bd2,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,524.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,3a33c013952d41d599185439b71c9f0f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,3a33c013952d41d599185439b71c9f0f,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,53.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,78b4560f016f40a199f76fe7f741f269,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,00954d49786b4c51bb86ec6873120c2e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,e8ae45bf78464584b4a2e4b39c2d7883,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,0ca3cd4b375c48698d48e6afc85bf21c,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,e0d011f446ff477793726dcbde8f680f,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,2e7aac1cb1e04512b12ec33153096e77,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,e0d011f446ff477793726dcbde8f680f,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,577.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,2e7aac1cb1e04512b12ec33153096e77,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,26.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,603bfb162e40415aadb3a4302b79f8c4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,603bfb162e40415aadb3a4302b79f8c4,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,327.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,f8dd124d8465445e88398e0a32529037,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,547323f5aa584d73a26dc1cd1747f32e,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,26.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,dd7497b638234772a55ae2f30bb83780,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,1da6144210fe430e94cc940d4e82f774,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,327.0,0.0
2021-07-16 09:30:00-04:00,MLTrader,70661b351244433c85d1bc711cbbe7fd,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
