time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,a6637e8be77a4a699d1fc40b782e6194,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,a6637e8be77a4a699d1fc40b782e6194,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,c3c6f73da3b14725b92a0777d1aee05c,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,c3c6f73da3b14725b92a0777d1aee05c,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,dd0151f36cb94d1cbc6d60103b330352,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,dd0151f36cb94d1cbc6d60103b330352,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,81b15515ed0b473eb195f81bb359ce50,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,81b15515ed0b473eb195f81bb359ce50,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,501913354a8d43dea2836927321ffb36,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,ecd9e75b0cc342ecbc318ebfd0dda3ac,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,c16cebc9047344ac88a71e22c49feb08,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,e98eb8f7572c4735b39a683f2b3b64c6,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,55ac849b63e64716acfb5c418773ff4a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,79d471f714a1471a80797e7501892d6c,SPY,buy,limit,fill,1,day,0.0,1,stock,284.6400146484375,335.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,2b84dbea3228400bbfb2295e55755f9f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,2b84dbea3228400bbfb2295e55755f9f,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,535.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,5b1cc14b21b142b0b7733f58f0087a14,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,2dbead5ea630470cb9e8a17dcf765732,SPY,buy,limit,fill,1,day,0.0,1,stock,249.1774948120117,576.0,0.0
2020-03-16 08:30:00-04:00,MLTrader,3a6520d0aa664666af10143e518f965e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,MLTrader,13fd6539458d4bebb3a27a549a51a7ab,SPY,buy,limit,fill,1,day,0.0,1,stock,241.94401245117186,535.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,40879119a1ff4576af42a2e0f8c96ce4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,40879119a1ff4576af42a2e0f8c96ce4,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,13ca0e7ef2e24f4ebbf1529e9e03999a,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,e094185b4cc246f182f788615225cf7f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,5bf269535a1248aa94117d7467727664,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,fd7cc8ba994d45529508bba3b99e0cd9,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,5bf269535a1248aa94117d7467727664,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,fd7cc8ba994d45529508bba3b99e0cd9,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,475.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,9c74dae14c204fe789b849ba6625700e,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,9464593bcfdd4aa19912b6e0178e2a3b,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,d58ae86b07854ba3b21a7c5d130b76ec,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,9a7bd60abcb04fe6b4387af555b642d0,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,d58ae86b07854ba3b21a7c5d130b76ec,SPY,sell,market,fill,1,day,0.0,1,stock,315.4800109863281,475.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,9a7bd60abcb04fe6b4387af555b642d0,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,68.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,d5b5c29be5864f36a6b6091627d94f95,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,d5b5c29be5864f36a6b6091627d94f95,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,341.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,1d7e617fccb749f88f5705bf0a8e7095,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,a70bf30665fb4857a77da2500fd51099,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,e928a81c3ed0489b86256814613fe733,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,c01441105c54408ca6f9f6b1f5d9622b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,9e659df5c15144d8b6b9a20d6992308c,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,8905cbc5fab547839bd253dab4201095,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,9e659df5c15144d8b6b9a20d6992308c,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,409.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,8905cbc5fab547839bd253dab4201095,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,524.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,83d784044f0e45978d35789d27b193a6,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,83d784044f0e45978d35789d27b193a6,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,53.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,82b99dab7889402b89293fc12c161702,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,2c8d421500de4888b1e468bf0a0794de,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,0c6e79cc336149bfae73e8e6f873c41a,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,7ee0837847f047ca85df7109206cb296,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,9e426ea576b24d41acd3c89d8a8bd7df,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,bd45b8388f634b898aa7b183acf1a537,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,9e426ea576b24d41acd3c89d8a8bd7df,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,577.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,bd45b8388f634b898aa7b183acf1a537,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,26.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,e006eb10e4b64e39838f044607b71eba,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,e006eb10e4b64e39838f044607b71eba,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,327.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,294c86ef6bf14c29b6b857962845f52d,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-11-09 08:30:00-05:00,MLTrader,cdb3beeb706340e8bffa37351bae2615,SPY,buy,stop,fill,1,day,0.0,1,stock,363.9700012207031,26.0,0.0
2020-11-09 08:30:00-05:00,MLTrader,3953358e1d334a68a61fae7411eb3d29,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
