time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,3d03a6b50cbb4af79a866a102cc29661,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,3d03a6b50cbb4af79a866a102cc29661,SPY,sell,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,41e4c36b75564aae90d22eea2264429f,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,41e4c36b75564aae90d22eea2264429f,SPY,sell,market,fill,1,gtc,0.0,1,stock,331.2300109863281,227.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,16c81e285dc64ef69468548e26db564d,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,16c81e285dc64ef69468548e26db564d,SPY,sell,market,fill,1,gtc,0.0,1,stock,335.8599853515625,335.0,0.0
2020-03-06 09:30:00-05:00,MLTrader,12665f76d909493dbd21429c2bf56db8,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-06 09:30:00-05:00,MLTrader,12665f76d909493dbd21429c2bf56db8,SPY,sell,market,fill,1,gtc,0.0,1,stock,293.1499938964844,576.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,12d9f4ebf00e4c199faa9b59662c4d58,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,fe92534e84b5466c95f849514bdebd04,SPY,buy,limit,fill,1,day,0.0,1,stock,274.84750518798825,155.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,e5a6474ceabd4ad4913dfdf6d1a77bb3,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,3cd7748b562f4aacae28cdd21f47bfe2,SPY,buy,limit,fill,1,day,0.0,1,stock,281.5455093383789,227.0,0.0
2020-03-09 08:30:00-04:00,MLTrader,dd115a38966546a3841099aa38289816,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-09 08:30:00-04:00,MLTrader,24e668fd2df149908a2153d6f66d4a7a,SPY,buy,limit,fill,1,day,0.0,1,stock,284.6400146484375,335.0,0.0
2020-03-09 09:30:00-04:00,MLTrader,d27f412640204939bf94aba6d126d9e4,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-03-09 09:30:00-04:00,MLTrader,d27f412640204939bf94aba6d126d9e4,SPY,sell,market,fill,1,gtc,0.0,1,stock,284.6400146484375,535.0,0.0
2020-03-11 09:30:00-04:00,MLTrader,ef7711cdee2b453e96665b258124603c,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-11 09:30:00-04:00,MLTrader,5398372a6edc41df99b39dc340ae258e,SPY,buy,limit,fill,1,day,0.0,1,stock,249.1774948120117,576.0,0.0
2020-03-16 08:30:00-04:00,MLTrader,6eb5c6a2b83d47a99cd05253a0d2f35b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-03-16 08:30:00-04:00,MLTrader,31d8aa7c8a7b47908022cf3fe85e7f37,SPY,buy,limit,fill,1,day,0.0,1,stock,241.94401245117186,535.0,0.0
2020-04-13 09:30:00-04:00,MLTrader,a419774e8a864de982bc4a05f2e1a3a6,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-04-13 09:30:00-04:00,MLTrader,a419774e8a864de982bc4a05f2e1a3a6,SPY,sell,market,fill,1,gtc,0.0,1,stock,280.9800109863281,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,9f8df38e5189404db4fbc82cd9831f2e,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,2b0f717224644ebf848324c3b8329542,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,debf9fe0012e45cb85de695ce6f0ad94,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,22f5e8c05df14334bb15705478e8218f,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-04-27 09:30:00-04:00,MLTrader,debf9fe0012e45cb85de695ce6f0ad94,SPY,buy,market,fill,1,day,0.0,1,stock,291.0199890136719,328.0,0.0
2020-04-27 09:30:00-04:00,MLTrader,22f5e8c05df14334bb15705478e8218f,SPY,buy,market,fill,1,gtc,0.0,1,stock,291.0199890136719,475.0,0.0
2020-05-18 09:30:00-04:00,MLTrader,8305df22391a4b59aad65f3c6ebb2243,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-05-18 09:30:00-04:00,MLTrader,8305df22391a4b59aad65f3c6ebb2243,SPY,buy,market,fill,1,gtc,0.0,1,stock,294.3500061035156,72.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,9a1b148330734f78a70710abc5f56f54,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,5b6144724251415ea68bec39b12331ba,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,4e65418606714577a21dbbf10d9680a9,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,3a9d66c8ee34438fba1c8cb8512d70b9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,7c6fccf049cd4ac4a3a78eb9d69c620d,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,42506679fed740a0a7282047cd568eab,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-15 09:30:00-04:00,MLTrader,7c6fccf049cd4ac4a3a78eb9d69c620d,SPY,sell,market,fill,1,day,0.0,1,stock,315.4800109863281,547.0,0.0
2020-06-15 09:30:00-04:00,MLTrader,42506679fed740a0a7282047cd568eab,SPY,sell,market,fill,1,gtc,0.0,1,stock,315.4800109863281,34.0,0.0
2020-06-22 09:30:00-04:00,MLTrader,ed6921c652bf45f4bda48b83b9d4de21,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-06-22 09:30:00-04:00,MLTrader,ed6921c652bf45f4bda48b83b9d4de21,SPY,sell,market,fill,1,gtc,0.0,1,stock,313.489990234375,326.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,dc06b3ff9375465abc7375bbaa612ee0,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,88596600686f4a68baaed1eba2357610,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,ce08c276069e42aa9f389b8f68916e1b,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,6804fb5796a344499a954b0c5565ec8f,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,23cb00e9087c43bd8f2d7d0bbbcb8898,SPY,buy,market,new,1,day,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,6a6e5bbc40c74d148c1832e189501347,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-06-25 09:30:00-04:00,MLTrader,23cb00e9087c43bd8f2d7d0bbbcb8898,SPY,buy,market,fill,1,day,0.0,1,stock,306.1600036621094,360.0,0.0
2020-06-25 09:30:00-04:00,MLTrader,6a6e5bbc40c74d148c1832e189501347,SPY,buy,market,fill,1,gtc,0.0,1,stock,306.1600036621094,501.0,0.0
2020-07-01 09:30:00-04:00,MLTrader,a30e39ec4c344e589917cb4c7c2be8a2,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-01 09:30:00-04:00,MLTrader,a30e39ec4c344e589917cb4c7c2be8a2,SPY,buy,market,fill,1,gtc,0.0,1,stock,314.239990234375,69.0,0.0
2020-07-16 09:30:00-04:00,MLTrader,7ca8a28a721e4e2ea0586f36221952f1,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-16 09:30:00-04:00,MLTrader,7ca8a28a721e4e2ea0586f36221952f1,SPY,buy,market,fill,1,gtc,0.0,1,stock,321.8800048828125,34.0,0.0
2020-07-30 09:30:00-04:00,MLTrader,92fa33ebe1cd475492d13d65a8394c76,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-07-30 09:30:00-04:00,MLTrader,92fa33ebe1cd475492d13d65a8394c76,SPY,buy,market,fill,1,gtc,0.0,1,stock,325.8999938964844,16.0,0.0
2020-08-05 09:30:00-04:00,MLTrader,158d8ddf4d0840d695b3992c7382d61c,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-08-05 09:30:00-04:00,MLTrader,158d8ddf4d0840d695b3992c7382d61c,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.4800109863281,8.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,d75cbc82d6bc4905873b82b96e00ee48,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,43fbdcc184cd4713affff4d1a75759fa,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,a70e1e8ebfc3454d9be27ee4042eee7d,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,b9f26aa4d8be4bc59a6dbd0c352ac37e,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,f11ad5b2e469470aa34aa971cac772f0,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,35ea4ab69494498484ffd6d9e3e44229,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,1c45160d4e0e4865947622e5593126fa,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,53bd915adeaa4b309dd02d101af7eaef,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,2ac527185a004738a6c8f41e548609a5,SPY,sell,stop,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,8bc15d04aecc48af89aea00ac6979cac,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,7b34d7fe3bbd4c60a046a2145b1610d6,SPY,sell,market,new,1,day,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,748eb64508834b539cc15b73e47fc6c5,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-14 09:30:00-04:00,MLTrader,7b34d7fe3bbd4c60a046a2145b1610d6,SPY,sell,market,fill,1,day,0.0,1,stock,341.1199951171875,628.0,0.0
2020-09-14 09:30:00-04:00,MLTrader,748eb64508834b539cc15b73e47fc6c5,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.1199951171875,4.0,0.0
2020-09-15 09:30:00-04:00,MLTrader,1ab74899e37341418a84bee23a9ea619,SPY,sell,market,new,1,gtc,0.0,1,stock,,,
2020-09-15 09:30:00-04:00,MLTrader,1ab74899e37341418a84bee23a9ea619,SPY,sell,market,fill,1,gtc,0.0,1,stock,341.510009765625,320.0,0.0
2020-10-26 09:30:00-04:00,MLTrader,30d8935af1264408ae150d51a2630890,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,MLTrader,5e951c22c1de4187b8d43f37e0390e58,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,MLTrader,cf6f241908df4ea5b11bf24d18bd5267,SPY,buy,stop,canceled,1,day,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,MLTrader,06b3effeb6c94211b08af4fbc805363b,SPY,buy,limit,canceled,1,day,0.0,1,stock,,,
2020-10-26 09:30:00-04:00,MLTrader,77d34a44734c4ff5b924944e6193dcbc,SPY,buy,market,new,1,day,0.0,1,stock,,,
