Metric,SPY,Strategy
Risk-Free Rate,5.22%,5.22%
Time in Market,69.0%,53.0%
,,
Total Return,49%,77%
CAGR% (Annual Return),11.0%,16.15%
,,
Sharpe,0.35,0.5
RoMaD,0.33,0.32
Corr to Benchmark,1.0,-0.07
Prob. Sharpe Ratio,20.4%,27.17%
Smart Sharpe,0.33,0.48
Sortino,0.48,0.73
Smart Sortino,0.46,0.7
Sortino/√2,0.34,0.51
Smart Sortino/√2,0.33,0.49
Omega,1.17,1.17
,,
Max Drawdown,-33.68%,-51.11%
Longest DD Days,696,583
Volatility (ann.),23.0%,27.34%
R^2,0.0,0.0
Information Ratio,0.01,0.01
Calmar,0.33,0.32
Skew,-0.56,0.32
Kurtosis,15.82,58.5
,,
Expected Daily%,0.03%,0.04%
Expected Monthly%,0.87%,1.25%
Expected Yearly%,10.48%,15.38%
Daily Value-at-Risk,-1.94%,-2.3%
Expected Shortfall (cVaR),-1.94%,-2.3%
,,
MTD,8.71%,11.2%
3M,1.58%,18.15%
6M,8.99%,19.8%
YTD,20.22%,19.01%
1Y,16.88%,18.78%
3Y (ann.),8.69%,-9.27%
5Y (ann.),11.0%,16.15%
10Y (ann.),11.0%,16.15%
All-time (ann.),11.0%,16.15%
,,
Best Day,9.06%,18.89%
Worst Day,-10.94%,-16.12%
Best Month,12.7%,40.74%
Worst Month,-12.44%,-37.69%
Best Year,28.77%,134.27%
Worst Year,-18.16%,-47.75%
,,
Avg. Drawdown,-2.25%,-2.9%
Avg. Drawdown Days,23,24
Recovery Factor,1.49,1.4
Ulcer Index,0.11,0.3
Serenity Index,0.26,0.06
,,
Avg. Up Month,4.32%,3.5%
Avg. Down Month,-4.3%,-2.43%
Win Days,745.21,748.33
Loss Days,650.79,647.67
Win Days%,53.38%,53.61%
Win Month%,63.04%,63.04%
Win Quarter%,68.75%,68.75%
Win Year%,75.0%,75.0%
,,
Beta,-,-0.08
Alpha,-,0.2
Correlation,-,-6.73%
Treynor Ratio,-,-899.9%
